"coef_conv","se_conv","pv_conv","coef_bc","se_bc","pv_bc","coef_rob","se_rob","pv_rob","bandwidth","controls","h_opt","sample","check_type","cutoff","polynomial"
-0.0471578482827065,0.0630974789894173,0.454833693836142,-0.00617847233895585,0.0630974789894173,0.921996231429542,-0.00617847233895585,0.0902516535637371,0.945420835430135,418,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
-0.021351618905231,0.0563686178927197,0.704847105803343,-0.0590148139843449,0.0563686178927197,0.295125180260218,-0.0590148139843449,0.0799349187195923,0.460340804504442,543,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
-0.00875924545328899,0.050424627537604,0.862093636825534,-0.0484064370177913,0.050424627537604,0.337067246363215,-0.0484064370177913,0.0735118147790743,0.510226448079808,668,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.000653326461127035,0.0464393997283908,0.988775438423174,-0.042324150511871,0.0464393997283908,0.362092801599107,-0.042324150511871,0.0688280874732464,0.538603879334074,793,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.00592982080404203,0.0429559875387649,0.890205561372987,-0.0288629355115788,0.0429559875387649,0.501635392530774,-0.0288629355115788,0.0637770041928745,0.6508654436931,918,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.00388128108596608,0.0404753699485983,0.923606016543941,-0.0150472925251834,0.0404753699485983,0.710068438979804,-0.0150472925251834,0.0603196235931031,0.803005501218891,1042,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.00572199320110967,0.0383633242620977,0.881433146317111,-0.0115957549788382,0.0383633242620977,0.762452744066161,-0.0115957549788382,0.0568443355351666,0.838360227790864,1167,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.00757547490283828,0.0365137975246866,0.835643732026309,-0.00763982627147508,0.0365137975246866,0.834267744524826,-0.00763982627147508,0.0537958524078198,0.887068035741148,1292,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0112692639520248,0.0349896221443744,0.747396279819897,-0.00888522728050767,0.0349896221443744,0.799542736936585,-0.00888522728050767,0.0513745305420096,0.862690695451676,1417,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0147915503706962,0.0337247996587089,0.660954550763749,-0.00926779037032133,0.0337247996587089,0.783464990299421,-0.00926779037032133,0.049213951181284,0.850628689668926,1542,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0169102589375051,0.0325416634812624,0.60330789531064,-0.00609920736877501,0.0325416634812624,0.851325348639773,-0.00609920736877501,0.0471736059042957,0.897125972152782,1667,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0181915475329457,0.0315384184215987,0.564070546834578,-0.0024007692041399,0.0315384184215987,0.939321994137509,-0.0024007692041399,0.045475691118364,0.957897346268311,1791,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0203242220174557,0.03071040156595,0.508097772729555,-0.000865993318762359,0.03071040156595,0.977503676189285,-0.000865993318762359,0.0441384539663097,0.984346566106781,1916,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0221710668402573,0.0298751252405918,0.458011816603066,0.00134975561843054,0.0298751252405918,0.963963903423269,0.00134975561843054,0.0427043955778972,0.974785502306973,2041,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0237874880384144,0.0291250912698731,0.414079755192614,0.00352147130047586,0.0291250912698731,0.90376350402941,0.00352147130047586,0.0415062941233443,0.932387112008098,2166,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
0.0243608003523427,0.0284335779658656,0.391576601198974,0.00668087770142123,0.0284335779658656,0.814236388594855,0.00668087770142123,0.0403673267770733,0.868548790272482,2291,FALSE,1394.89417251252,"Full Sample","bandwidth",NA,NA
