"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
0.0423107079583946,0.0325383601215815,0.193486814733621,0.0351981623549531,0.0325383601215815,0.279366480178794,0.0351981623549531,0.0529087854426851,0.505883439502298,729,461,268,4615,382,1940,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0423177341943346,0.0315940330477468,0.18043342134388,0.0365896255125209,0.0315940330477468,0.246815793057403,0.0365896255125209,0.0509269318518694,0.472465689916499,763,482,281,4615,382,2052,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0422723973883978,0.0306813126690977,0.168268218871486,0.0381761280355002,0.0306813126690977,0.213396717407478,0.0381761280355002,0.0489386323997419,0.4353428296269,798,502,296,4615,382,2164,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0429679043911955,0.0298027671216037,0.149375139032021,0.0382770337657556,0.0298027671216037,0.199021281806677,0.0382770337657556,0.047115620687935,0.416558450989282,840,526,314,4615,382,2276,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0422543045631791,0.0290028241662169,0.14514312900765,0.0403869672809245,0.0290028241662169,0.163765463544408,0.0403869672809245,0.0455864891619138,0.375648996172624,877,553,324,4615,382,2387,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0416080668100611,0.0282541393410348,0.140849173363138,0.0420556891601038,0.0282541393410348,0.136624652749534,0.0420556891601038,0.0441947557153121,0.3413003450786,919,575,344,4615,382,2499,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.068366169983128,0.0790277178204256,0.386988826409779,0.114995570659517,0.0790277178204256,0.145633388664008,0.114995570659517,0.116183548956723,0.322284113278339,147,75,72,4410,372,375,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0485174700841203,0.0689515427201564,0.48165332149793,0.0947959729836727,0.0689515427201564,0.169187197463266,0.0947959729836727,0.103058742115684,0.357664391673938,196,103,93,4410,372,487,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0530974917846219,0.0601429520927203,0.377314747076012,0.0553074488364226,0.0601429520927203,0.357781912851335,0.0553074488364226,0.0920705238505717,0.548034861641567,246,132,114,4410,372,598,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.060235571784668,0.0541952236542716,0.266372394864725,0.046366172425487,0.0541952236542716,0.392252364203515,0.046366172425487,0.0845592474147022,0.583466953116381,285,158,127,4410,372,710,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
