panel_data,pre_or_post,age,party,education_summary,education,sex,income,race,lib_or_con,duty_or_choice,voted2012,voted2016,voted_for_2012,voted_for_2016,expectations_2020,feeling_dems,feeling_reps,free_press,checks_and_balances,rule_of_law,agree_on_facts,unitary_executive,journalist_access,media_undermined_concern,media_trust,govt_trust,govt_capture,govt_corruption,foreign_help,govt_principled,urban_unrest,party_summary,expect_inparty_win,day_of_birth,date_cutoff,date_2012_election,days_from_cutoff,age_2012_election,treatment,liberal_index,race_Black,race_Hispanic,race_Asian,race_Native,race_Other,race_NA
3,3,54,5,2,2,1,13,White,5,2,1,NA,2,2,3,5,70,-0.5605616145111023,0.7207302104367574,0.573083703561271,-0.07731522541165571,-1.8795752356617481,-1.5769963763818573,1.1222562270427896,2,2,1,3,3,1,3,Independent,NA,16,1994-11-06,2012-11-06,-10248,46.05886379192334,0,0.7577836837605807,0,0,0,0,0,0
4,3,80,7,3,3,0,7,White,6,1,1,1,2,2,3,10,80,-0.5605616145111023,0.7207302104367574,0.573083703561271,-0.07731522541165571,0.8491507732232628,-0.5505490308078672,-0.34624101076783853,1,3,1,4,5,1,4,Republican,1,24,1994-11-06,2012-11-06,-19705,71.95071868583162,0,0.8007147011111166,0,0,0,0,0,0
4,3,47,6,3,3,1,17,White,5,6,0,NA,NA,NA,3,0,85,-0.5605616145111023,-2.6661802661627183,-2.0975306846718307,-1.1200103352027624,-0.7880848321077437,-0.5505490308078672,-1.0804896296731525,1,3,1,3,3,2,2,Republican,1,16,1994-11-06,2012-11-06,-7630,38.8911704312115,0,0.4125654281633607,0,0,0,0,0,0
3,3,24,2,5,7,0,16,Hispanic,4,1,0,NA,NA,NA,1,75,30,0.1936485577401988,0.7207302104367574,0.573083703561271,-1.1200103352027624,0.8491507732232628,0.9891219875531179,0.3880076081374755,3,3,1,2,5,2,7,Democrat,1,23,1994-11-06,2012-11-06,564,16.45722108145106,1,0.8739003885450466,0,1,0,0,0,0
4,3,50,NA,1,1,1,5,White,99,6,0,NA,NA,NA,1,70,40,-2.0689819590137044,-1.5372101072962265,-0.7622234905552797,-2.162705444993869,0.3034055714462606,-0.5505490308078672,-1.0804896296731525,3,3,2,4,4,2,2,NA,NA,17,1994-11-06,2012-11-06,-8786,42.05612594113621,0,0.4479439251830327,0,0,0,0,0,0
3,1,25,2,5,7,0,10,White,99,1,0,1,NA,2,1,60,60,-2.0689819590137044,-0.4082399484297345,-4.768145072904932,-1.1200103352027624,-0.7880848321077437,-0.5505490308078672,-1.0804896296731525,1,4,1,4,3,2,NA,Democrat,1,9,1994-11-06,2012-11-06,398,16.91170431211499,1,0.3614138672488803,0,0,0,0,0,0
4,3,24,NA,4,6,0,1,White,4,1,0,NA,NA,2,1,60,60,-2.0689819590137044,0.7207302104367574,0.573083703561271,-1.1200103352027624,0.3034055714462606,0.4758983147661229,-0.34624101076783853,1,3,1,3,3,2,7,NA,NA,8,1994-11-06,2012-11-06,763,15.912388774811772,1,0.7140271297498035,0,0,0,0,0,0
3,3,57,1,3,3,0,12,White,4,7,1,NA,2,1,1,100,0,-2.0689819590137044,-0.4082399484297345,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,2,2,1,4,5,2,4,Democrat,1,18,1994-11-06,2012-11-06,-11311,48.969199178644764,0,0.7932513990797381,0,0,0,0,0,0
4,3,62,7,3,3,0,5,White,6,2,1,1,2,2,3,15,85,-0.5605616145111023,-0.4082399484297345,-0.7622234905552797,-0.07731522541165571,0.8491507732232628,0.4758983147661229,-0.34624101076783853,1,3,1,3,5,2,4,Republican,1,28,1994-11-06,2012-11-06,-13311,54.444900752908964,0,0.7156021641932214,0,0,0,0,0,0
3,3,34,4,4,6,1,1,Black,99,4,1,1,1,1,3,50,50,0.9478587299914999,-2.6661802661627183,0.573083703561271,0.965379884379451,-0.7880848321077437,-1.063772703594862,-0.34624101076783853,1,2,1,4,5,1,7,Independent,NA,28,1994-11-06,2012-11-06,-3114,26.527036276522928,0,0.664532981221162,1,0,0,0,0,0
