"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
-0.0320336060710029,0.0535937542995602,0.55003241591796,-0.0910826372323648,0.0535937542995602,0.0892248326147703,-0.0910826372323648,0.0878755440700495,0.299970871926961,379,220,159,4704,395,950,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0282843085363866,0.0516368453125514,0.583860562386757,-0.0860191515062851,0.0516368453125514,0.0957436311383568,-0.0860191515062851,0.0847689231005513,0.310225650120286,403,237,166,4704,395,1004,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0234487979178772,0.0498464924843523,0.638054821381441,-0.0836266591060907,0.0498464924843523,0.0934088194256911,-0.0836266591060907,0.0819161084896521,0.307310472858101,425,249,176,4704,395,1059,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0181220120745579,0.0481115834997874,0.706421611112793,-0.0812740365437697,0.0481115834997874,0.0911653830646615,-0.0812740365437697,0.0790095858492643,0.3036392585991,440,258,182,4704,395,1114,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0136161646158126,0.0467099164522284,0.77066527722883,-0.0790874038988836,0.0467099164522284,0.0904248459733556,-0.0790874038988836,0.0768374292237565,0.303347050338716,456,271,185,4704,395,1168,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.00986801871678589,0.0455251446042746,0.828395585231469,-0.0767058239607167,0.0455251446042746,0.0920057141291567,-0.0767058239607167,0.0750175007716979,0.306541604758102,479,290,189,4704,395,1223,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.177696667416319,0.0918472982463127,0.053027522106094,-0.156903246248318,0.0918472982463127,0.0875796682950366,-0.156903246248318,0.11636832227695,0.177551310594597,72,45,27,4483,385,183,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.177670344290966,0.0840589377626916,0.0345460154410175,-0.162711736558611,0.0840589377626916,0.052906129979912,-0.162711736558611,0.109049366494493,0.135674910552411,99,56,43,4483,385,238,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.186048220297875,0.0796015766780798,0.0194265574308496,-0.153316688197615,0.0796015766780798,0.0540980188951142,-0.153316688197615,0.105977539444627,0.147983656324038,114,63,51,4483,385,293,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.176793964374507,0.074397161157015,0.017484696580245,-0.173699299937411,0.074397161157015,0.0195561136759838,-0.173699299937411,0.100879580530449,0.0850970640580899,145,76,69,4483,385,348,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
